creationDate,startDate,endDate,value
2023-09-30 12:34:44 +0100,2023-09-30 12:31:53 +0100,2023-09-30 12:31:53 +0100,62
2023-09-30 12:40:45 +0100,2023-09-30 12:36:15 +0100,2023-09-30 12:36:15 +0100,62
2023-09-30 12:45:09 +0100,2023-09-30 12:44:23 +0100,2023-09-30 12:44:23 +0100,64
2023-09-30 13:56:33 +0100,2023-09-30 13:52:27 +0100,2023-09-30 13:52:27 +0100,73
2023-09-30 14:00:45 +0100,2023-09-30 13:59:32 +0100,2023-09-30 13:59:32 +0100,71
2023-09-30 14:06:37 +0100,2023-09-30 14:02:06 +0100,2023-09-30 14:02:06 +0100,66
2023-09-30 14:11:00 +0100,2023-09-30 14:08:47 +0100,2023-09-30 14:08:47 +0100,76
2023-09-30 14:11:00 +0100,2023-09-30 14:09:59 +0100,2023-09-30 14:09:59 +0100,81.5639
2023-09-30 14:14:52 +0100,2023-09-30 14:13:05 +0100,2023-09-30 14:13:05 +0100,72
2023-09-30 14:17:59 +0100,2023-09-30 14:17:59 +0100,2023-09-30 14:17:59 +0100,69
2023-09-30 14:19:45 +0100,2023-09-30 14:16:52 +0100,2023-09-30 14:16:52 +0100,71
2023-09-30 14:25:22 +0100,2023-09-30 14:19:41 +0100,2023-09-30 14:19:41 +0100,72
2023-09-30 14:29:49 +0100,2023-09-30 14:28:23 +0100,2023-09-30 14:28:23 +0100,72
2023-09-30 14:35:55 +0100,2023-09-30 14:31:43 +0100,2023-09-30 14:31:43 +0100,74
2023-09-30 14:40:16 +0100,2023-09-30 14:38:43 +0100,2023-09-30 14:38:43 +0100,74
2023-09-30 14:46:05 +0100,2023-09-30 14:43:12 +0100,2023-09-30 14:43:12 +0100,68
2023-09-30 14:54:21 +0100,2023-09-30 14:49:22 +0100,2023-09-30 14:49:22 +0100,68
2023-09-30 14:58:32 +0100,2023-09-30 14:58:31 +0100,2023-09-30 14:58:31 +0100,100
2023-09-30 15:02:46 +0100,2023-09-30 15:02:45 +0100,2023-09-30 15:02:45 +0100,108
2023-09-30 15:04:49 +0100,2023-09-30 14:51:41 +0100,2023-09-30 14:51:41 +0100,67
2023-09-30 15:06:43 +0100,2023-09-30 15:06:42 +0100,2023-09-30 15:06:42 +0100,122
2023-09-30 15:06:48 +0100,2023-09-30 15:06:47 +0100,2023-09-30 15:06:47 +0100,124
2023-09-30 15:06:53 +0100,2023-09-30 15:06:51 +0100,2023-09-30 15:06:51 +0100,128
2023-09-30 15:06:58 +0100,2023-09-30 15:06:53 +0100,2023-09-30 15:06:53 +0100,128
2023-09-30 15:07:03 +0100,2023-09-30 15:07:01 +0100,2023-09-30 15:07:01 +0100,128
2023-09-30 15:07:08 +0100,2023-09-30 15:07:07 +0100,2023-09-30 15:07:07 +0100,121
2023-09-30 15:07:13 +0100,2023-09-30 15:07:12 +0100,2023-09-30 15:07:12 +0100,119
2023-09-30 15:07:18 +0100,2023-09-30 15:07:13 +0100,2023-09-30 15:07:13 +0100,118
2023-09-30 15:07:23 +0100,2023-09-30 15:07:18 +0100,2023-09-30 15:07:18 +0100,120
2023-09-30 15:07:28 +0100,2023-09-30 15:07:27 +0100,2023-09-30 15:07:27 +0100,128
2023-09-30 15:07:33 +0100,2023-09-30 15:07:32 +0100,2023-09-30 15:07:32 +0100,127
2023-09-30 15:07:38 +0100,2023-09-30 15:07:33 +0100,2023-09-30 15:07:33 +0100,128
2023-09-30 15:07:43 +0100,2023-09-30 15:07:42 +0100,2023-09-30 15:07:42 +0100,126
2023-09-30 15:07:48 +0100,2023-09-30 15:07:43 +0100,2023-09-30 15:07:43 +0100,126
2023-09-30 15:07:53 +0100,2023-09-30 15:07:52 +0100,2023-09-30 15:07:52 +0100,123
2023-09-30 15:07:58 +0100,2023-09-30 15:07:54 +0100,2023-09-30 15:07:54 +0100,122
2023-09-30 15:08:03 +0100,2023-09-30 15:08:02 +0100,2023-09-30 15:08:02 +0100,117
2023-09-30 15:08:08 +0100,2023-09-30 15:08:04 +0100,2023-09-30 15:08:04 +0100,116
2023-09-30 15:08:13 +0100,2023-09-30 15:08:10 +0100,2023-09-30 15:08:10 +0100,115
2023-09-30 15:08:18 +0100,2023-09-30 15:08:13 +0100,2023-09-30 15:08:13 +0100,117
2023-09-30 15:08:23 +0100,2023-09-30 15:08:18 +0100,2023-09-30 15:08:18 +0100,118
2023-09-30 15:08:28 +0100,2023-09-30 15:08:24 +0100,2023-09-30 15:08:24 +0100,122
2023-09-30 15:08:33 +0100,2023-09-30 15:08:28 +0100,2023-09-30 15:08:28 +0100,121
2023-09-30 15:08:38 +0100,2023-09-30 15:08:35 +0100,2023-09-30 15:08:35 +0100,129
2023-09-30 15:08:53 +0100,2023-09-30 15:08:49 +0100,2023-09-30 15:08:49 +0100,131
2023-09-30 15:08:58 +0100,2023-09-30 15:08:56 +0100,2023-09-30 15:08:56 +0100,125
2023-09-30 15:09:03 +0100,2023-09-30 15:08:58 +0100,2023-09-30 15:08:58 +0100,125
2023-09-30 15:09:08 +0100,2023-09-30 15:09:07 +0100,2023-09-30 15:09:07 +0100,121
2023-09-30 15:09:13 +0100,2023-09-30 15:09:10 +0100,2023-09-30 15:09:10 +0100,119
2023-09-30 15:09:18 +0100,2023-09-30 15:09:13 +0100,2023-09-30 15:09:13 +0100,118
2023-09-30 15:09:23 +0100,2023-09-30 15:09:18 +0100,2023-09-30 15:09:18 +0100,116
2023-09-30 15:09:28 +0100,2023-09-30 15:09:27 +0100,2023-09-30 15:09:27 +0100,122
2023-09-30 15:09:33 +0100,2023-09-30 15:09:32 +0100,2023-09-30 15:09:32 +0100,125
2023-09-30 15:09:38 +0100,2023-09-30 15:09:33 +0100,2023-09-30 15:09:33 +0100,125
2023-09-30 15:09:43 +0100,2023-09-30 15:09:41 +0100,2023-09-30 15:09:41 +0100,130
2023-09-30 15:09:48 +0100,2023-09-30 15:09:47 +0100,2023-09-30 15:09:47 +0100,133
2023-09-30 15:09:53 +0100,2023-09-30 15:09:50 +0100,2023-09-30 15:09:50 +0100,129
2023-09-30 15:09:58 +0100,2023-09-30 15:09:53 +0100,2023-09-30 15:09:53 +0100,128
2023-09-30 15:10:03 +0100,2023-09-30 15:09:59 +0100,2023-09-30 15:09:59 +0100,117
2023-09-30 15:10:08 +0100,2023-09-30 15:10:05 +0100,2023-09-30 15:10:05 +0100,119
2023-09-30 15:12:07 +0100,2023-09-30 15:04:37 +0100,2023-09-30 15:04:37 +0100,117
2023-09-30 15:17:58 +0100,2023-09-30 15:13:53 +0100,2023-09-30 15:13:53 +0100,93
2023-09-30 15:22:25 +0100,2023-09-30 15:14:58 +0100,2023-09-30 15:14:58 +0100,93
2023-09-30 15:29:21 +0100,2023-09-30 15:21:36 +0100,2023-09-30 15:21:36 +0100,75
2023-09-30 15:30:08 +0100,2023-09-30 15:26:08 +0100,2023-09-30 15:26:08 +0100,75
2023-09-30 15:35:12 +0100,2023-09-30 15:30:09 +0100,2023-09-30 15:30:09 +0100,75
2023-09-30 15:43:06 +0100,2023-09-30 15:35:10 +0100,2023-09-30 15:35:10 +0100,71
2023-09-30 15:44:16 +0100,2023-09-30 15:42:37 +0100,2023-09-30 15:42:37 +0100,73.0796
2023-09-30 15:45:22 +0100,2023-09-30 15:40:47 +0100,2023-09-30 15:40:47 +0100,73
2023-09-30 15:48:13 +0100,2023-09-30 15:48:12 +0100,2023-09-30 15:48:12 +0100,60
2023-09-30 15:48:18 +0100,2023-09-30 15:48:13 +0100,2023-09-30 15:48:13 +0100,61
2023-09-30 15:48:23 +0100,2023-09-30 15:48:21 +0100,2023-09-30 15:48:21 +0100,74
2023-09-30 15:48:28 +0100,2023-09-30 15:48:27 +0100,2023-09-30 15:48:27 +0100,73
2023-09-30 15:48:33 +0100,2023-09-30 15:48:32 +0100,2023-09-30 15:48:32 +0100,74
2023-09-30 15:48:38 +0100,2023-09-30 15:48:37 +0100,2023-09-30 15:48:37 +0100,72
2023-09-30 15:48:43 +0100,2023-09-30 15:48:42 +0100,2023-09-30 15:48:42 +0100,70
2023-09-30 15:48:48 +0100,2023-09-30 15:48:44 +0100,2023-09-30 15:48:44 +0100,70
2023-09-30 15:48:53 +0100,2023-09-30 15:48:52 +0100,2023-09-30 15:48:52 +0100,67
2023-09-30 15:48:58 +0100,2023-09-30 15:48:57 +0100,2023-09-30 15:48:57 +0100,68
2023-09-30 15:49:03 +0100,2023-09-30 15:49:02 +0100,2023-09-30 15:49:02 +0100,68
2023-09-30 15:49:08 +0100,2023-09-30 15:49:03 +0100,2023-09-30 15:49:03 +0100,68
2023-09-30 15:49:13 +0100,2023-09-30 15:49:12 +0100,2023-09-30 15:49:12 +0100,67
2023-09-30 15:49:18 +0100,2023-09-30 15:49:15 +0100,2023-09-30 15:49:15 +0100,68
